time, pressure
21.6,3.2887992273
21.62,2.9047612463
21.64,2.6289709547
21.66,4.4940028016
21.68,8.7694417972
21.7,9.4092752737
21.72,5.9150122791
21.74,5.2820735599
21.76,6.6486144547
21.78,7.9882657962
21.8,7.8069336795
21.82,5.187615385
21.84,3.4770261013
21.86,2.6558605081
21.88,2.3731754592
21.9,4.4940028016
21.92,6.5141666876
21.94,8.3791985345
21.96,6.0563548035
21.98,4.8642512681
22,6.2645764737
22.02,7.6118120482
22.04,7.207779271
22.06,5.9818914248
22.08,4.6153505299
22.1,3.8003902182
22.12,4.9118250934
22.14,5.2145049384
22.16,3.9824118107
22.18,3.8879536358
22.2,5.6254324729
22.22,5.9818914248
22.24,4.9656042003
22.26,4.8980355788
22.28,6.8975151929
22.3,7.0388577174
22.32,6.655509212
22.34,7.7055807473
22.36,6.6417196975
22.38,4.0361909176
22.4,3.2350201205
22.42,3.8879536358
22.44,4.8304669574
22.46,4.3257707237
22.48,3.5852737908
22.5,3.8610640824
22.52,5.7460907255
22.54,9.3148170988
22.56,8.1902821848
22.58,5.5447638126
22.6,5.8336541431
22.62,6.4465980662
22.64,5.0462728606
22.66,3.7266163152
22.68,3.5583842374
22.7,3.8541693251
22.72,4.1168595779
22.74,3.9355274611
22.76,5.4434108805
22.78,6.1708077746
22.8,5.7460907255
22.82,6.1232339492
22.84,6.9450890182
22.86,6.3521398913
22.88,5.4503056377
22.9,4.9049303361
22.92,4.5953557338
22.94,4.7497982971
22.96,5.5378690553
22.98,5.5509690942
23,3.7466111114
23.02,2.4676336341
23.04,3.8879536358
23.06,5.604748201
23.08,6.5341614837
23.1,6.5072719303
23.12,5.5040847446
23.14,5.113841482
23.16,6.2376869203
23.18,7.207779271
23.2,6.8506308433
23.22,5.0055937925
23.24,3.3294782953
23.26,2.9254455181
23.28,3.1605567417
23.3,3.5583842374
23.32,4.5953557338
23.34,5.4771951912
23.36,5.8005593081
23.38,6.3252503378
23.4,6.8975151929
23.42,5.8336541431
23.44,5.2820735599
23.46,6.2583711921
23.48,6.5072719303
23.5,4.5815662192
23.52,3.1605567417
23.54,3.2887992273
23.56,3.9355274611
23.58,4.1913229566
23.6,5.3151683949
23.62,5.5447638126
23.64,4.2788863742
23.66,4.0768699856
23.68,5.7460907255
23.7,6.9650838144
23.72,6.5810458333
23.74,5.3827370163
23.76,5.2951735987
23.78,5.2682840453
23.8,4.3057759276
23.82,4.0830752671
23.84,4.4333289375
23.86,3.8679588397
23.88,2.9723298677
23.9,3.1067776349
23.92,4.2113177527
23.94,5.8812279684
23.96,6.729283115
23.98,6.4465980662
24,5.8405489004
24.02,5.8543384149
24.04,6.2245868814
24.06,5.0862624528
24.08,3.8879536358
24.1,3.793495461
24.12,3.989306568
24.14,3.5046051305
24.16,2.9723298677
24.18,3.5445947228
24.2,5.2076101811
24.22,6.1908025707
24.24,6.0563548035
24.26,5.4840899485
24.28,5.2882788414
24.3,5.3696369775
24.32,5.5109795019
24.34,5.1738258704
24.36,4.6760243941
24.38,4.6015610153
24.4,4.6829191514
24.42,3.7735006648
24.44,2.864771654
24.46,3.5314946839
24.48,4.9518146857
24.5,5.0262780644
24.52,4.2719916169
24.54,4.7298035009
24.56,5.8136593469
24.58,6.2107973668
24.6,5.8005593081
24.62,6.0901391143
24.64,6.1839078134
24.66,4.6891244329
24.68,3.3763626449
24.7,3.1812410136
24.72,3.5852737908
24.74,3.6390528977
24.76,3.6728372084
24.78,3.874853597
24.8,4.7697930932
24.82,6.0294652501
24.84,6.3390398524
24.86,5.342747424
24.88,5.6116429583
24.9,6.4334980273
24.92,5.375842259
24.94,3.9286327038
24.96,3.6321581404
24.98,4.136854374
25,4.1844281993
25.02,3.719721558
25.04,3.760400626
25.06,4.1437491313
25.08,4.1506438886
25.1,4.4871080443
25.12,5.4234160843
25.14,5.8743332111
25.16,5.6723168225
25.18,5.1738258704
25.2,4.9449199284
25.22,5.2482892491
25.24,5.4296213659
25.26,5.2820735599
25.28,4.3057759276
25.3,3.1336671883
25.32,2.6758553042
25.34,3.2688044312
25.36,3.9017431504
25.38,4.4202288986
25.4,4.9656042003
25.42,5.5109795019
25.44,5.5647586088
25.46,5.6592167836
25.48,6.083244357
25.5,5.8943280072
25.52,5.0531676178
25.54,4.2519968207
25.56,4.0292961603
25.58,3.719721558
25.6,3.1605567417
25.62,3.052998528
25.64,3.6659424511
25.66,4.7566930544
25.68,5.1607258316
25.7,4.5746714619
25.72,4.2788863742
25.74,5.228294453
25.76,6.1101339104
25.78,5.7260959293
25.8,4.9718094818
25.82,4.7160139864
25.84,4.8780407827
25.86,4.5408871512
25.88,3.7266163152
25.9,3.6790424899
25.92,4.1575386459
25.94,3.760400626
25.96,2.8916612074
25.98,3.0736827999
26,4.6491348406
26.02,6.0156757355
26.04,5.7260959293
26.06,5.1338362781
26.08,5.4771951912
26.1,5.8943280072
26.12,5.416521327
26.14,4.5008975589
26.16,4.0361909176
26.18,3.793495461
26.2,3.4708208198
26.22,2.9654351104
26.24,2.8916612074
26.26,3.7335110725
26.28,5.1200467636
26.3,5.375842259
26.32,4.6491348406
26.34,4.7835826078
26.36,5.7736697546
26.38,5.604748201
26.4,4.6553401222
26.42,4.6891244329
26.44,5.1269415208
26.46,4.8104721612
26.48,3.760400626
26.5,3.1205671495
26.52,3.4639260625
26.54,4.21821251
26.56,4.2850916557
26.58,3.5914790724
26.6,3.4301417518
26.62,4.4133341413
26.64,5.604748201
26.66,5.6316377545
26.68,5.2551840064
26.7,5.7398854439
26.72,5.8136593469
26.74,4.6491348406
26.76,3.7266163152
26.78,3.8410692863
26.8,4.1844281993
26.82,3.6659424511
26.84,2.8040977898
26.86,2.6696500227
26.88,3.7335110725
26.9,5.1807206277
26.92,5.6116429583
26.94,4.9049303361
26.96,4.9318198895
26.98,5.6185377156
27,5.4027318124
27.02,4.5815662192
27.04,4.3526602772
27.06,4.6353453261
27.08,4.4333289375
27.1,3.6859372472
27.12,3.1274619067
27.14,3.4101469556
27.16,4.0768699856
27.18,4.21821251
27.2,3.8541693251
27.22,4.0561857137
27.24,4.8780407827
27.26,5.261389288
27.28,4.9518146857
27.3,4.958709443
27.32,5.7598802401
27.34,5.9012227645
27.36,4.7366982582
27.38,3.6728372084
27.4,3.4501365479
27.42,3.6790424899
27.44,3.6190581015
27.46,3.2350201205
27.48,3.208130567
27.5,3.7466111114
27.52,4.4809027628
27.54,5.1338362781
27.56,5.49029523
27.58,5.6654220652
27.6,5.530974298
27.62,4.844256472
27.64,4.3457655199
27.66,4.406439384
27.68,4.5277871123
27.7,4.1575386459
27.72,3.5783790335
27.74,3.2750097128
27.76,3.3225835381
27.78,3.7872901794
27.8,4.2044229954
27.82,4.3188759665
27.84,4.3595550345
27.86,4.6960191902
27.88,4.9318198895
27.9,4.8980355788
27.92,5.1000519674
27.94,5.4840899485
27.96,5.3289579094
27.98,4.6353453261
28,4.0968647817
28.02,3.719721558
28.04,3.4439312664
28.06,3.2281253632
28.08,3.208130567
28.1,3.5376999655
28.12,3.9955118496
28.14,4.2650968596
28.16,4.5884609765
28.18,5.228294453
28.2,5.6792115798
28.22,5.5378690553
28.24,5.1538310743
28.26,4.7229087437
28.28,4.3595550345
28.3,4.0499804321
28.32,3.793495461
28.34,3.6659424511
28.36,3.6997267618
28.38,3.6728372084
28.4,3.4639260625
28.42,3.5108104121
28.44,4.1506438886
28.46,4.8373617147
28.48,4.8980355788
28.5,4.7029139475
28.52,4.7229087437
28.54,4.958709443
28.56,5.0862624528
28.58,5.0931572101
28.6,5.0193833071
28.62,4.6284505688
28.64,3.874853597
28.66,3.2481201593
28.68,3.093677596
28.7,3.3087940235
28.72,3.6190581015
28.74,3.8610640824
28.76,3.9755170534
28.78,4.177533442
28.8,4.8842460642
28.82,5.6454272691
28.84,5.5647586088
28.86,5.1407310354
28.88,4.9924937537
28.9,4.7098087048
28.92,4.1237543351
28.94,3.6997267618
28.96,3.6521529365
28.98,3.7535058687
29,3.645947655
29.02,3.3832574022
29.04,3.4570313052
29.06,4.022401403
29.08,4.5477819085
29.1,4.5953557338
29.12,4.5884609765
29.14,4.8842460642
29.16,5.0531676178
29.18,4.9249251322
29.2,4.844256472
29.22,4.8842460642
29.24,4.7697930932
29.26,4.3664497918
29.28,3.7535058687
